id,extracted,not_ext_reason,transformed,not_trans_reason,loaded,not_loaded_reason
289,True,,False,transformation error,False,
290,True,,False,transformation error,False,
291,True,,False,transformation error,False,
292,True,,False,transformation error,False,
293,True,,False,transformation error,False,
294,True,,False,transformation error,False,
295,True,,False,transformation error,False,
297,True,,False,transformation error,False,
298,True,,False,transformation error,False,
299,True,,False,transformation error,False,
300,True,,False,transformation error,False,
301,True,,False,transformation error,False,
302,True,,False,transformation error,False,
303,True,,False,transformation error,False,
304,True,,False,transformation error,False,
305,True,,False,transformation error,False,
306,True,,False,transformation error,False,
308,True,,False,transformation error,False,
314,True,,False,transformation error,False,
332,True,,False,transformation error,False,
333,True,,False,transformation error,False,
336,True,,False,transformation error,False,
338,True,,False,transformation error,False,
339,True,,False,transformation error,False,
340,True,,False,transformation error,False,
341,True,,False,transformation error,False,
342,True,,False,transformation error,False,
343,True,,False,transformation error,False,
344,True,,False,transformation error,False,
345,True,,False,transformation error,False,
346,True,,False,transformation error,False,
347,True,,False,transformation error,False,
348,True,,False,transformation error,False,
349,True,,False,transformation error,False,
350,True,,False,transformation error,False,
351,True,,False,transformation error,False,
352,True,,False,transformation error,False,
353,True,,False,transformation error,False,
354,True,,False,transformation error,False,
359,True,,False,transformation error,False,
365,True,,False,transformation error,False,
371,True,,False,transformation error,False,
373,True,,False,transformation error,False,
374,True,,False,transformation error,False,
376,True,,False,transformation error,False,
377,True,,False,transformation error,False,
387,True,,False,transformation error,False,
393,True,,False,transformation error,False,
394,True,,False,transformation error,False,
396,True,,False,transformation error,False,
397,True,,False,transformation error,False,
401,True,,False,transformation error,False,
402,True,,False,transformation error,False,
405,True,,False,transformation error,False,
406,True,,False,transformation error,False,
407,True,,False,transformation error,False,
408,True,,False,transformation error,False,
410,True,,False,transformation error,False,
411,True,,False,transformation error,False,
412,True,,False,transformation error,False,
413,True,,False,transformation error,False,
414,True,,False,transformation error,False,
415,True,,False,transformation error,False,
417,True,,False,transformation error,False,
418,True,,False,transformation error,False,
419,True,,False,transformation error,False,
420,True,,False,transformation error,False,
421,True,,False,transformation error,False,
422,True,,False,transformation error,False,
423,True,,False,transformation error,False,
424,True,,False,transformation error,False,
