id,extracted,not_ext_reason,transformed,not_trans_reason,loaded,not_loaded_reason
782,True,,True,,True,
783,True,,True,,True,
784,True,,True,,True,
785,True,,True,,True,
786,True,,True,,True,
787,True,,True,,True,
788,True,,True,,True,
789,True,,True,,True,
790,True,,True,,True,
791,True,,True,,True,
792,True,,True,,True,
795,True,,True,,True,
796,True,,True,,True,
797,True,,True,,True,
798,True,,True,,True,
799,True,,True,,True,
801,True,,True,,True,
802,True,,True,,True,
804,True,,True,,True,
805,True,,True,,True,
806,True,,True,,True,
807,True,,True,,True,
808,True,,True,,True,
810,True,,True,,True,
812,True,,True,,True,
813,True,,True,,True,
814,True,,True,,True,
815,True,,True,,True,
816,True,,True,,True,
819,True,,True,,True,
821,True,,True,,True,
822,True,,True,,True,
823,True,,True,,True,
824,True,,True,,True,
825,True,,True,,True,
826,True,,True,,True,
827,True,,True,,True,
828,True,,True,,True,
831,True,,True,,True,
833,True,,True,,True,
834,True,,True,,True,
835,True,,True,,True,
836,True,,True,,True,
837,True,,True,,True,
838,True,,True,,True,
839,True,,True,,True,
840,True,,True,,True,
841,True,,True,,True,
842,True,,True,,True,
844,True,,True,,True,
847,True,,True,,True,
848,True,,True,,True,
850,True,,True,,True,
852,True,,True,,True,
853,True,,True,,True,
854,True,,True,,True,
857,True,,True,,True,
858,True,,True,,True,
859,True,,True,,True,
860,True,,True,,True,
861,True,,True,,True,
862,True,,True,,True,
866,True,,True,,True,
867,True,,True,,True,
868,True,,True,,True,
870,True,,True,,True,
871,True,,True,,True,
873,True,,True,,True,
874,True,,True,,True,
875,True,,True,,True,
876,True,,True,,True,
877,True,,True,,True,
878,True,,True,,True,
879,True,,True,,True,
880,True,,True,,True,
881,True,,True,,True,
882,True,,True,,True,
883,True,,True,,True,
884,True,,True,,True,
886,True,,True,,True,
887,True,,True,,True,
888,True,,True,,True,
889,True,,True,,True,
890,True,,True,,True,
891,True,,True,,True,
893,True,,True,,True,
894,True,,True,,True,
895,True,,True,,True,
896,True,,True,,True,
897,True,,True,,True,
898,True,,True,,True,
899,True,,True,,True,
901,True,,True,,True,
903,True,,True,,True,
904,True,,True,,True,
905,True,,True,,True,
906,True,,True,,True,
907,True,,True,,True,
908,True,,True,,True,
909,True,,True,,True,
910,True,,True,,True,
911,True,,True,,True,
912,True,,True,,True,
913,True,,True,,True,
914,True,,True,,True,
915,True,,True,,True,
916,True,,True,,True,
917,True,,True,,True,
918,True,,True,,True,
919,True,,True,,True,
920,True,,True,,True,
921,True,,True,,True,
922,True,,True,,True,
923,True,,True,,True,
924,True,,True,,True,
925,True,,True,,True,
926,True,,True,,True,
927,True,,True,,True,
928,True,,True,,True,
929,True,,True,,True,
930,True,,True,,True,
931,True,,True,,True,
932,True,,True,,True,
933,True,,True,,True,
934,True,,True,,True,
935,True,,True,,True,
936,True,,True,,True,
937,True,,True,,True,
938,True,,True,,True,
939,True,,True,,True,
940,True,,True,,True,
941,True,,True,,True,
942,True,,True,,True,
943,True,,True,,True,
944,True,,True,,True,
945,True,,True,,True,
946,True,,True,,True,
947,True,,True,,True,
948,True,,True,,True,
949,True,,True,,True,
950,True,,True,,True,
951,True,,True,,True,
952,True,,True,,True,
953,True,,True,,True,
954,True,,True,,True,
955,True,,True,,True,
956,True,,True,,True,
957,True,,True,,True,
958,True,,True,,True,
959,True,,True,,True,
960,True,,True,,True,
961,True,,True,,True,
962,True,,True,,True,
963,True,,True,,True,
964,True,,True,,True,
965,True,,True,,True,
966,True,,True,,True,
967,True,,True,,True,
968,True,,True,,True,
969,True,,True,,True,
970,True,,True,,True,
971,True,,True,,True,
972,True,,True,,True,
973,True,,True,,True,
974,True,,True,,True,
975,True,,True,,True,
976,True,,True,,True,
977,True,,True,,True,
978,True,,True,,True,
980,True,,True,,True,
981,True,,True,,True,
982,True,,True,,True,
983,True,,True,,True,
984,True,,True,,True,
985,True,,True,,True,
986,True,,True,,True,
987,True,,True,,True,
988,True,,True,,True,
989,True,,True,,True,
990,True,,True,,True,
991,True,,True,,True,
992,True,,True,,True,
993,True,,True,,True,
994,True,,True,,True,
995,True,,True,,True,
996,True,,True,,True,
997,True,,True,,True,
998,True,,True,,True,
999,True,,True,,True,
1000,True,,True,,True,
1001,True,,True,,True,
1002,True,,True,,True,
1003,True,,True,,True,
1004,True,,True,,True,
1005,True,,True,,True,
1006,True,,True,,True,
1007,True,,True,,True,
1008,True,,True,,True,
1009,True,,True,,True,
1010,True,,True,,True,
1011,True,,True,,True,
1012,True,,True,,True,
1013,True,,True,,True,
1014,True,,True,,True,
1016,True,,True,,True,
1017,True,,True,,True,
1018,True,,True,,True,
1019,True,,True,,True,
1020,True,,True,,True,
1021,True,,True,,True,
1022,True,,True,,True,
1023,True,,True,,True,
1024,True,,True,,True,
1025,True,,True,,True,
1026,True,,True,,True,
1027,True,,True,,True,
1028,True,,True,,True,
1031,True,,True,,True,
1032,True,,True,,True,
1033,True,,True,,True,
1034,True,,True,,True,
1035,True,,True,,True,
1036,True,,True,,True,
1037,True,,True,,True,
1038,True,,True,,True,
1039,True,,True,,True,
1040,True,,True,,True,
1041,True,,True,,True,
1042,True,,True,,True,
1043,True,,True,,True,
1045,True,,True,,True,
1046,True,,True,,True,
1047,True,,True,,True,
1048,True,,True,,True,
1049,True,,True,,True,
1050,True,,True,,True,
1051,True,,True,,True,
1052,True,,True,,True,
1053,True,,True,,True,
1054,True,,True,,True,
1056,True,,True,,True,
1057,True,,True,,True,
1059,True,,True,,True,
1060,True,,True,,True,
1061,True,,True,,True,
1062,True,,True,,True,
1063,True,,True,,True,
1064,True,,True,,True,
1065,True,,True,,True,
1066,True,,True,,True,
1067,True,,True,,True,
1068,True,,True,,True,
1070,True,,True,,True,
1073,True,,True,,True,
1074,True,,True,,True,
1075,True,,True,,True,
1085,True,,True,,True,
1086,True,,True,,True,
1087,True,,True,,True,
1088,True,,True,,True,
1089,True,,True,,True,
1090,True,,True,,True,
1091,True,,True,,True,
1092,True,,True,,True,
1093,True,,True,,True,
1094,True,,True,,True,
1095,True,,True,,True,
1096,True,,True,,True,
1097,True,,True,,True,
1098,True,,True,,True,
1099,True,,True,,True,
1100,True,,True,,True,
1103,True,,True,,True,
1105,True,,True,,True,
1106,True,,True,,True,
1107,True,,True,,True,
1108,True,,True,,True,
1109,True,,True,,True,
1110,True,,True,,True,
1111,True,,True,,True,
1112,True,,True,,True,
